name	mz	rt	D121	A122	A125	A126	A127	A128	B131	B132	B133	B134	B135	B136	C138	C139	C140	C157	C158	C159	C160	D202	D203	D205	A206	D207	D208	E211	E213	E214	E215	E216	H234	H235	H236	H237	H238	H239	H240
M216T249	216.1236841	248.808072	2504935.104	3778767.767	2508990.966	5383406.937	16970419.37		20456160.45	20305328.22			2731176.619	15996916.81	2338458.393	6471133.441	8255989.999	2473668.69	5492372.415	6184137.041	18645192.13	4506433.459	5148679.881	2080392.708	5244615.487	27443607.8	2696045.848	16580736.29	3125504.058	12089533.95	24446633.95	5085606.367		5649313.365	14525610.01	7054219.892		6082501.781	
M217T146	217.0283044	146.448858	28266.91354	57830.97	70205.73628		229691.8646	103761.6024	213311.0773	167523.9559	90449.5383	205467.8653		369457.8364	96714.27689	242603.0477		57346.76192	201536.4	32272.83184	253526.7653	80694.79154	39557.82734	35235.1721		313579.6447	68365.37394	150902.2889	22957.50836	187272.6921	198575.1138	51487.58427	35808.89453	48134.23186	127360.8133		42374.63809	34319.16376	
M217T270	217.1552107	270.10122	312588.7089	314759.5753	195868.2023	459648.6649	417034.7684	191254.0934	491825.4158	408162.603	452667.9442	187160.7342	163963.0058	443741.957	215425.0998			181298.0874	572769.9579	158407.4086	453567.9509	264954.365	247166.5432		439722.7812	625188.1581	166894.3419	302042.5131	35836.99135		314999.3482	411575.454	134012.4408	181187.1603	135230.4413	462221.6834			26574.16408
M218T63_1	218.0545418	62.647662		186786.3604	391618.016	231539.7954	141119.8959	151083.6848	472905.0455	242630.9138	83607.86149	400663.2382	233191.8106		696158.4847	190872.0004	191055.9629	35383.86296	457656.3193	144591.7315		328192.6871	238968.7203	1380926.892		220823.4339	167718.0093	88242.60973	189888.6782	273034.9986	353058.8781	71350.99404		66182.66788	115724.9718	126154.4027	241644.8634	140258.2247	
M218T271	218.1215688	270.587898	301068.0429	119697.1804	75208.9372	94628.13202	764997.4317	412171.0756	164973.5269		208758.2711		23293.96535	267925.6651	110922.499	184952.1257		152064.0451	169014.1907	69869.19246	208158.5582	184863.2217	118571.5119			82156.89245	118727.7389	148850.8911	79187.88574	175675.3272		283388.8165	163894.3096	210311.8363	195711.262	1038185.653	132903.257	70620.23196	113259.9471
M218T287	218.1393727	286.918062		2075422.168	2236070.75	3606359.408	4996288.923	5176432.428	3398928.931	3888916.7	3441560.583		1678612.023	10534855.3	2700152.392	4427563.962	2344125.345		3834036.637	1065691.676	3491538.643	2676127.26	2049204.044		3335288.928	7678085.87	1765619.543	1904930.728	1321108.441	2836667.841	2675898.812	2672400.516	4235563.455		2016516.847	3630641.754		1336872.882	558812.34
M218T63_2	218.1868694	62.960214	887949.9384	2207145.149	794586.734	1287602.652	2293167.152	1492819.215			1665043.058	1140763.029	189668.9902	900390.4767	1308838.978	1282405.655	834915.5691	140616.6882	1498839.03	299375.2484			476520.7485	619514.6727	1638925.356	1687949.211	481453.2872	1394758.079		1214876.529	1649922.386	1015324.524		2065011.907	786957.5569	2649003.977	2056140.869	168961.8557	267203.0229
M220T259_1	220.1264164	258.52473	322944.8974		640387.7291	911126.8982	1348862.994	1012556.159	817798.1095	1241247.116	760560.4411	829088.5412	371805.3017	970834.6467	837758.4528	870090.3391		447207.6014	1009825.561	211503.1885	1019530.702		365078.053	1474130.957	909949.3714	1411158.214	470764.7242	499492.7605	223759.4635	1148373.604	675760.8848	522625.8761			189391.6143	568626.4502	1763930.477		89243.05469
M221T283	221.1905994	282.933846	661674.1169	1474076.122	1065296.333	1489973.786	3001919.384	1865296.733	5969917.288	2283463.197	970971.2494	1379370.149	1045576.356	3305324.454	2167921.816	1580752.45	1746856.513	646991.5877	2494906.141	877221.7645	1476779.972			1064227.583	2434417.692	7214386.999	1487216.928	3230473.565			1951200.168	1114782.276	1905750.313		1043356.12	2769429.947	2961442.443	786677.8776	
M223T182	223.1080879	182.259243	126459.4684	138808.357	138333.4242	394616.1891	532866.0507	17688.07635	430272.9604	370467.6564	211890.5474		91014.65498	401205.246	197604.4319	536879.8642		67427.86081	281687.8405	59357.76017	321144.59		55839.7545		253443.347	451312.6515	72408.05816	215149.6269	11049.69843	226001.2145	268387.1392	189970.6234	167217.9768	189650.8163	178469.7087	385608.3143	183928.8917		
M224T47_2	223.972772	46.7512902		125233.8997	111184.4045	1257290.149	549334.8769	228533.4729	205631.9643		162505.3367	1532869.344	425575.2767	366852.5091	531913.5183	348480.5506	2479063.68	384014.81	261653.5292	409258.5024	543176.7628		59304.8286	800940.0564		691432.9469	506690.445	423226.9867		1489277.442	208471.8792	477823.0133	182951.5197	557868.9456		263662.6563	1289480.106	684532.2165	227740.2228
M224T159	224.0760021	158.797602	98807.68619	209359.2979	45080.76545	181128.0974	233313.0718	61260.82109	167271.6883	198858.9551	133290.4575	103303.5772	75945.15502	262889.4796	36282.45095	227524.6787	74758.8431				214994.1121	55482.65705	65022.04947	18546.74932	154742.3846	348827.5988	58709.36287	149319.7897		130388.6955	225324.9811	172283.4817	144882.6681	123020.5287	54535.63525	291259.4811	391746.4578		
M224T83	224.0770982	83.27067	7795931.869	8147802.004	4978567.177	9855249.18	13254848.49	6547968.308			7574357.766		3586366.768	18525892.66	4553033.925	14927488.75	5991412.693	4334470.669	9265717.513	3165026.956	9971508.071	4535960.012			9660470.868	19123792.19	3270971.523	7934284.401	2263276.134	8246972.089	9285269.982	7561232.879		12368066.87	6736877.512	10543202.67	19316759.36	3008851.5	1451739.17
M224T295	224.1287158	295.481004	4432866.876	11806232.58		13935701.71		16729743.05	26223356.39	20422356.36	18235944.37	4137119.159		20456491.86	8633144.227	13449726.73	6744004.862		22614676.94	2655735.637	5036928.405	10407664.97	7120978.017	3194575.81	4714032.523	25782437.4	10573714.71	14300262.64	4225461.136	4364532.741	13450969.12	5337894.213		19305366.49	5859233.035	3343505.373	5632387.835	1180244.826	
